Tax parcel Number,Street Number,Street Name,Present Use,Historic Function,Historic Use,Date of const.,Dates of alteration,Style,No. of Stories,Construction method,Exterior material: historic 1,Exterior material: historic 2,Exterior material: present,Roof Type,Roof Material,Founda- tion Material,Additions,Porch location 1,Porch condition,Window condition,Overall integrity,Contri- buting,Endan- gered?,Distinctive features,Notes,Outbldg 1 type,Outbldg 1 date,Outbldg 1 construction method,Outbldg 1 distinctive features,Outbldg 2 type,Outbldg 2 date,Landscape features
70.4-5-2,200,Saddlebred Ln,Single Family Residence,Domestic,Single Dwelling,1750,,Colonial,1,stone,stone,,plaster,gable,corrugated metal,stone,dormers,,N/A,replaced,intact,Yes,No,center brick chimney,NOTABLE; vacant (bldg permit displayed); 3 gable roof dormers; 3 access. bldgs: 2 barns & 1 other converted to residence,barn,c1920,wood frame,"large 2-story; gambrel roof; wood novelty siding; sliding barn door, hay door intact; asphalt roofing",barn,c1950,"gravel entrance road, wood fence 1 side, barbed wire on E; active sheep farm w/fields; raised stone retaining wall in front of stone house; split rail fences thruout area; millstone in front yard of stone house"
70.4-5-5.100,71,Old Tschirkey Rd,Multi-Family Residence,Domestic,Single Dwelling,1890,1930  1980,Queen Anne,3,wood frame,wood clapbd,wood shingle,vinyl clapbd w/metal edging,gable & hipped,asphalt &ssm,stone,,full front,enclosed,mixed,altered,Yes,No,"diamond paned, stained glass & leaded windows; multiple stone chimneys; mult. shed-roof dormers; mult. roof lines, bell-shaped hip roof ov. 3rd story portion w/octag. tower extending off; iron cresting on 3rd fl. gable; cobblestone treatm.; porte cochere","NOTABLE; front porch converted to sunroom; ""Culinarian's Home""; 5 accessory bldgs",barn,c1890,wood frame,exposed rafter ends; double hay doors intact w/hoist; extended gable over doors w/ brackets below exp. rafter ends; eyebrow & shed roof dormers w/vents; 3 o.h. doors installed; vinyl clapbd siding,WF pavilion; 12-sided outbldg; barn; office/ restroom,various dates,36 landscaped acres w/pond w/fountain; stream; sitting area by pond; natural boulders along E edge of Old Tshirkey Rd; entrance drive w/stone entrance piers/gates; bridge w/stone railings over pond; octagonal stone planter
70.4-5-5.300,,Rte 32 North,Vacant,Agriculture,Agricultural Field,,,,,,,,,,,,,,,,intact,Yes,No,,NOTABLE farmland,,,,,,,"136.1 acres of mostly cleared meadows/fallow farm fields; lines of trees, fencing along Rte 32 N; farm access road into field w/gate still evident"
70.4-5-7,10,Old Tschirkey Rd,Single Family Residence,Domestic,Single Dwelling,1940,,Swiss Chalet,1,wood frame,stucco,wood timbers,,front gable,asphalt,poured concrete,,side,enclosed,intact,intact,Yes,No,scroll sawn balcony railing extending around 2 sides; turned columns & diff. scross sawn railing on side porch; half timbering on 1st fl.& gable ends; exposed basement along road ; bracketed eaves on overhanging roof; wood posts & braces under balcony,appears to have been caretaker's house for main bldg at 71 Old Tshirkey Rd,garage,c1960,wood frame,2-story; stucco & wood; apt on 2nd fl.?,,,
78.1-1-2.200,133,Canaan Rd,Single Family Residence,Domestic,Single Dwelling,1830,1890,Federal,2,wood frame,wood clapbd,,,cross-gable,asbestos shingles,stone,1-story side ell,full front,intact,intact,intact,Yes,No,5 bay/center passage; stone side ell w/shed roof behind added wood frame side ell; porch has spindled frieze & turned columns indicative of later Gothic Revival/Queen Anne renovations; stone endwall chimney on N side; brick endwall chimney on S; window bl,NOTABLE; possibly T. Ayres house on 1876 map,barn,c1890,wood frame,2-story; front gable; ssm roof; wood novelty siding; hanging doors & hay door intact,privy,c1890,sited w/rear yard against mountain side necessitating stone retaining walls; low stone wall along road; wood frame well house w/gable roof in side yard
78.1-2-10.100,351,Springtown Rd,Single Family Residence,Agriculture,Animal Facility,1900,1970,Undetermined,1.5,wood frame,wood clapbd,,,gable,ssm,und,2nd story balcony/ deck off S side,entrance,intact-add,altered,altered,Yes,No,front porch is a gabled canopy w/braces; casement windows,Barn has been converted to living quarters; orig. probably associated w/house immediately across road @ 354 Springtown Rd which is a part of the larger J. Bevere Estate on the 1876 map,chicken house,c1950,wood frame,long 2-story bldg w/ 4 bays defined by sets of 3 sash windows; 2-stall garage w/o.h. doors;,,,rustic arbor; rustic log front zig-zag fence along fr. property line/road edge
78.1-2-10.100,354,Springtown Rd,Single Family Residence,Domestic,Single Dwelling,1870,,Gothic Revival,2,wood frame,wood clapbd,,,cross-gable,lock-tab asphalt,stone,,1/2 front,intact,intact,intact,Yes,No,"door surround w/half sidelights, paneled below; single attic window; exposed rafter ends on 1/2 of porch; porch has sq. support posts; DGEVS on end gables; 2-over-2 windows",NOTABLE; noted as part of the J. Bevere Estate on the 1876 map,barn,c1900,wood frame,long 2-story; shed roof; wood slat/board siding,,,
78.1-2-11,317,Springtown Rd,Barn,Agriculture,Agricultural Storage,1900,,Undetermined,2,wood frame,wood clapbd,,,gambrel,ssm,und,1-story lean-to on S side,,N/A,,altered,Yes,Yes,very large barn w/main doors on gambrel ends; walls partially missing,Endangered due to being open to elements (may be in process of being reblt); prob. associated w/DuBois House @323 Springtown Rd,,,,,,,fenced fields surrounding
78.1-2-12,323,Springtown Rd,Single Family Residence,Domestic,Single Dwelling,1800,,Federal,2,wood frame,wood clapbd,,,gable,asphalt,stone,1.5-story side ell off an earlier 1-story side ell,full front,intact-add,mixed,intact,Yes,No,"orig house is 2-story w/front gable, 3 bay, wide overhanging eaves, flared roof for box gutters, 1-story flat-roofed side ell; 2nd phase is 1.5-story extension off 1st S side ell, broken eave dormers w/2-over-2 windows, 1 horiz. window between dormers",NOTABLE; owner states Deyo family owned house; S.L. DuBois House on 1876 map;,garage,,wood frame,2-stall; 1.5-story; attached to house via passageway to 1-story side ell addition to house; swing doors; broken eave dormers above garage doors,,,lot on which house is sited appears to be subdivided off from larger farmland tract
78.1-2-15.100,311,Springtown Rd,Single Family Residence,Domestic,Single Dwelling,1849,1880  1920,Greek Revival,2.5,wood frame,wood clapbd,,,front gable,asphalt,stone,1-story S side ell/sunporch; side deck S. side,wrap,intact,intact,intact,Yes,No,Greek Temple pediment on front gable w/horiz attic windows in cornice on side elevations; heavy moldings on top & bottom of cornice; orig. 3 bay/side passage; front door surround w/arched fanlight transom & arched headers on sidelights; 6-over-6 windos on,,garage,,wood frame,,,,
